Model,Accuracy,F1 Macro,Precision Macro,Recall Macro
XGBoost,0.7547479750577388,0.5777406249931637,0.6348553980592536,0.5376278072740507
Gradient Boosting,0.7232207621866085,0.5712025824760809,0.6543277980432192,0.5241620260075063
Random Forest,0.7490799276208713,0.49781460119006626,0.6041388922035742,0.4384770117674622
LightGBM,0.6645195015925803,0.38842135167756814,0.38136651140888517,0.4014511690709222
K-Nearest Neighbors,0.6173686817846502,0.2092696790008981,0.3826866165792589,0.18637024731372276
Logistic Regression,0.6210489483582822,0.1386468067448994,0.17768081882333284,0.14376060565308846
